"","pbs_code","drug_name","form_strength","atc_code","inuse","form_type","adm_route","final_unit","unit_wt_mg","unit_wt_g","unit_wt_ml","uadm_route"
"16","01463B","HEPARIN SODIUM","injection (preservative-free) 5,000 i.u. (as sodium) in 5 ml","B01AB01","Y","injection","P",NA,NA,NA,NA,"P"
"17","01466E","HEPARIN SODIUM","injection 5,000 units (as sodium) in 0.2 ml","B01AB01","Y","injection","P",NA,NA,NA,NA,"P"
"18","01467F","HEPARIN SODIUM","injection 5,000 units in 1 ml ampoule","B01AB01","Y","injection","P",NA,NA,NA,NA,"P"
"19","01477R","GONADOTROPHIN CHORIONIC HUMAN","injection set containing 1 ampoule powder for injection 5,000 units and 1 ampoule solvent 1 ml","G03GA01","Y","injection","P",NA,NA,NA,NA,"P"
"20","01528K","FLUCLOXACILLIN","powder for oral suspension 125 mg (as magnesium) per 5 ml, 100 ml","J01CF05","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"21","01529L","FLUCLOXACILLIN","powder for oral suspension 250 mg (as magnesium) per 5 ml, 100 ml","J01CF05","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"22","01531N","INSULIN NEUTRAL HUMAN","injection (human) 100 units per ml, 10 ml","A10AB01","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"23","01533Q","INSULIN ISOPHANE HUMAN","injection (human) 100 units per ml, 10 ml","A10AC01","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"24","01541D","IPRATROPIUM","nebuliser solution containing ipratropium bromide 250 mg (anhydrous) per ml, 20 ml","R03BB01","Y","UNKNOWN","UNKNOWN",250,250,NA,"per ml, 20 ml","UNKNOWN"
"25","01579D","GONADOTROPHIN CHORIONIC HUMAN","injection set containing 3 ampoules powder for injection 500 units and 3 ampoules solvent 1 ml","G03GA01","Y","injection","P",NA,NA,NA,NA,"P"
"26","01581F","GONADOTROPHIN CHORIONIC HUMAN","injection set containing 3 ampoules powder for injection 1,500 units and 3 ampoules solvent 1 ml","G03GA01","Y","injection","P",NA,NA,NA,NA,"P"
"27","01582G","GONADOTROPHIN CHORIONIC HUMAN","injection set containing 3 ampoules powder for injection 2,000 units and 3 ampoules solvent 1 ml","G03GA01","Y","injection","P",NA,NA,NA,NA,"P"
"28","01583H","GONADOTROPHIN CHORIONIC HUMAN","injection set containing 3 ampoules powder for injection 500 units and 3 ampoules solvent 1 ml","G03GA01","Y","injection","P",NA,NA,NA,NA,"P"
"29","01603J","HUMAN MENOPAUSAL GONADOTROPHIN STANDARDISED with HUMAN CHORIONIC GONADOTROPHIN","injection set containing 10 ampoules powder for injection providing 75 units follicle stimulating hormone and 75 units luteinising activity and 10 ampoules solvent 1 ml","G03GA02","Y","injection","P",NA,NA,NA,NA,"P"
"30","01630T","METRONIDAZOLE","oral suspension containing metronidazole benzoate 320 mg per 5 ml, 100 ml","J01XD01","Y","oral","O",320,320,NA,"per 5 ml, 100 ml","O"
"31","01658G","NAPROXEN","oral suspension 125 mg per 5 ml, 474 ml","M01AE02","Y","oral","O",125,125,NA,"per 5 ml, 474 ml","O"
"32","01691B","NITROFURANTOIN","oral suspension 25 mg per 5 ml, 200 ml","J01XE01","Y","oral","O",25,25,NA,"per 5 ml, 200 ml","O"
"33","01696G","NYSTATIN","tablet 500,000 units","A07AA02","Y","tablet","O",NA,NA,NA,NA,"O"
"34","01699K","NYSTATIN","capsule 500,000 units","A07AA02","Y","capsule","O",NA,NA,NA,NA,"O"
"35","01711C","INSULIN ISOPHANE BOVINE","injection (bovine) 100 units per ml, 10 ml","A10AC02","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"36","01713E","INSULIN NEUTRAL BOVINE","injection (bovine) 100 units per ml, 10 ml","A10AB02","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"37","01718K","INSULIN ZINC SUSPENSION (LENTE)","injection (human) 100 units per ml, 10 ml vial","A10AC01","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"38","01722P","INSULIN ZINC SUSPENSION (CRYSTALLINE) (ULTRALENTE)","injection (human) 100 units per ml, 10 ml vial","A10AE01","Y","injection","P",NA,NA,NA,"per ml, 10 ml","P"
"39","01747Y","PARACETAMOL","oral liquid 120 mg per 5 ml, 100 ml","N02BE01","Y","oral","O",120,120,NA,"per 5 ml, 100 ml","O"
"40","01761Q","INSULIN ISOPHANE HUMAN","injections (human), cartridges, 100 units per ml, 3 ml, 5","A10AC01","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"41","01762R","INSULIN NEUTRAL HUMAN","injections (human), cartridges, 100 units per ml, 3 ml, 5","A10AB01","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"42","01763T","INSULIN ISOPHANE HUMAN + INSULIN NEUTRAL HUMAN","injections (human), cartridges, 30 units-70 units per ml, 3 ml, 5","A10AD01","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"43","01770E","PARACETAMOL","oral liquid 240 mg per 5 ml, 200 ml","N02BE01","Y","oral","O",240,240,NA,"per 5 ml, 200 ml","O"
"44","01808E","CLONAZEPAM","oral liquid 2.5 mg per ml, 10 ml","N03AE01","Y","oral","O",2.5,2.5,NA,"per ml, 10 ml","O"
"45","01809F","FLUOXETINE","oral solution equivalent to 20 mg fluoxetine per 5 ml, 140 ml","N06AB03","Y","oral","O",20,20,NA,"per 5 ml, 140 ml","O"
"46","01886G","AMOXYCILLIN","powder for oral suspension 125 mg (as trihydrate) per 5 ml, 100 ml","J01CA04","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"47","01887H","AMOXYCILLIN","powder for oral suspension 250 mg (as trihydrate) per 5 ml, 100 ml","J01CA04","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"48","01888J","AMOXYCILLIN","powder for paediatric oral drops 100 mg (as trihydrate) per ml, 20 ml","J01CA04","Y","oral","O",100,100,NA,"per ml, 20 ml","O"
"49","01892N","AMOXYCILLIN + CLAVULANIC ACID","powder for oral suspension containing 125 mg amoxycillin (as trihydrate) with 31.25 mg clavulanic acid (as potassium clavulanate) per 5 ml, 75 ml","J01CR02","Y","oral","O",125,125,NA,"per 5 ml, 75 ml","O"
"50","01921D","INSULIN GLULISINE","injections (human analogue), cartridges, 100 units per ml, 3 ml, 5","A10AB06","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"51","02003K","SALBUTAMOL","nebuliser solution 5 mg (as sulfate) per ml, 30 ml","R03AC02","Y","UNKNOWN","UNKNOWN",5,5,NA,"per ml, 30 ml","UNKNOWN"
"52","02062M","INSULIN ISOPHANE HUMAN + INSULIN NEUTRAL HUMAN","injections (human), cartridges, 50 units-50 units per ml, 3 ml, 5","A10AD01","Y","injection","P",NA,NA,NA,"per ml, 3 ml","P"
"53","02122Q","MORPHINE","oral solution containing morphine hydrochloride 2 mg per ml, 200 ml","N02AA01","Y","oral","O",2,2,NA,"per ml, 200 ml","O"
"54","02123R","MORPHINE","oral solution containing morphine hydrochloride 5 mg per ml, 200 ml","N02AA01","Y","oral","O",5,5,NA,"per ml, 200 ml","O"
"55","02124T","MORPHINE","oral solution containing morphine hydrochloride 10 mg per ml, 200 ml","N02AA01","Y","oral","O",10,10,NA,"per ml, 200 ml","O"
"56","02129C","DESMOPRESSIN","intranasal solution containing desmopressin acetate 100 mg per ml, 2.5 ml dropper bottle","H01BA02","Y","nasal","N",100,100,NA,"per ml, 2.5 ml","N"
"57","02293Q","VALPROATE","oral liquid containing sodium valproate 200 mg per 5 ml, 300 ml","N03AG01","Y","oral","O",200,200,NA,"per 5 ml, 300 ml","O"
"58","02295T","VALPROATE","oral solution containing sodium valproate 200 mg per 5 ml, 300 ml","N03AG01","Y","oral","O",200,200,NA,"per 5 ml, 300 ml","O"
"59","02311P","FUSIDATE","oral suspension 50 mg per ml, 90 ml","J01XC01","Y","oral","O",50,50,NA,"per ml, 90 ml","O"
"60","02341F","TESTOSTERONE","transdermal solution (pump pack) 30 mg per 1.5 ml dose, 60 doses","G03BA03","Y","transdermal","TD",30,30,NA,"per 1.5 ml","TD"
"61","02354X","PHENOXYMETHYLPENICILLIN","oral suspension 250 mg (as benzathine) per 5 ml, 100 ml","J01CE10","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"62","02356B","PHENOXYMETHYLPENICILLIN","oral suspension 125 mg (as benzathine) per 5 ml, 100 ml","J01CE10","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"63","02411X","FRUSEMIDE","oral solution 10 mg per ml, 30 ml","C03CA01","Y","oral","O",10,10,NA,"per ml, 30 ml","O"
"64","02424N","ERYTHROMYCIN ETHYLSUCCINATE","powder for oral liquid 200 mg (as ethyl succinate) per 5 ml, 100 ml","J01FA01","Y","oral","O",200,200,NA,"per 5 ml, 100 ml","O"
"65","02425P","ERYTHROMYCIN","oral suspension equivalent to 125 mg erythromycin per 5 ml, 100 ml","J01FA01","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"66","02427R","CARBAMAZEPINE","oral suspension 100 mg per 5 ml, 300 ml","N03AF01","Y","oral","O",100,100,NA,"per 5 ml, 300 ml","O"
"67","02428T","ERYTHROMYCIN ETHYLSUCCINATE","powder for oral liquid 400 mg (as ethyl succinate) per 5 ml, 100 ml","J01FA01","Y","oral","O",400,400,NA,"per 5 ml, 100 ml","O"
"68","02460L","CEFACLOR","powder for oral suspension 125 mg (as monohydrate) per 5 ml, 100 ml","J01DC04","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"69","02461M","CEFACLOR","powder for oral suspension 250 mg (as monohydrate) per 5 ml, 75 ml","J01DC04","Y","oral","O",250,250,NA,"per 5 ml, 75 ml","O"
"70","02476H","RIVASTIGMINE","oral solution 2 mg (as hydrogen tartrate) per ml, 120 ml","N06DA03","Y","oral","O",2,2,NA,"per ml, 120 ml","O"
"71","02535K","CARBACHOL","eye drops 15 mg per ml, 15 ml","S01EB02","Y","eye drops","P",15,15,NA,"per ml, 15 ml","P"
"72","02536L","CARBACHOL","eye drops 30 mg per ml, 15 ml","S01EB02","Y","eye drops","P",30,30,NA,"per ml, 15 ml","P"
"73","02595N","PILOCARPINE","eye drops containing pilocarpine hydrochloride 10 mg per ml, 15 ml","S01EB01","Y","eye drops","P",10,10,NA,"per ml, 15 ml","P"
"74","02596P","PILOCARPINE","eye drops containing pilocarpine hydrochloride 20 mg per ml, 15 ml","S01EB01","Y","eye drops","P",20,20,NA,"per ml, 15 ml","P"
"75","02597Q","PILOCARPINE","eye drops 30 mg per ml, 15 ml","S01EB01","Y","eye drops","P",30,30,NA,"per ml, 15 ml","P"
"76","02598R","PILOCARPINE","eye drops containing pilocarpine hydrochloride 40 mg per ml, 15 ml","S01EB01","Y","eye drops","P",40,40,NA,"per ml, 15 ml","P"
"77","02610J","ERYTHROMYCIN","oral suspension equivalent to 250 mg erythromycin per 5 ml, 100 ml","J01FA01","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"78","02614N","THEOPHYLLINE","oral solution 133.3 mg per 25 ml, 500 ml","R03DA04","Y","oral","O",133.3,133.3,NA,"per 25 ml, 500 ml","O"
"79","02630K","ACETYLCYSTEINE","solution for inhalation equivalent to 200 mg acetylcysteine per ml, 10 ml","R05CB01","Y","inhalation,solution for inhalation",NA,200,200,NA,"per ml, 10 ml",NA
"80","02692Q","PHENYTOIN","oral suspension 30 mg per 5 ml, 500 ml","N03AB02","Y","oral","O",30,30,NA,"per 5 ml, 500 ml","O"
"81","02726L","FERROUS GLUCONATE","elixir 300 mg per 5 ml, 100 ml","B03AA03","Y","elixir","O",300,300,NA,"per 5 ml, 100 ml","O"
"82","02763K","HALOPERIDOL","oral solution 2 mg per ml, 100 ml","N05AD01","Y","oral","O",2,2,NA,"per ml, 100 ml","O"
"83","02778F","PILOCARPINE","eye drops containing pilocarpine hydrochloride 5 mg per ml, 15 ml","S01EB01","Y","eye drops","P",5,5,NA,"per ml, 15 ml","P"
"84","02779G","PILOCARPINE","eye drops containing pilocarpine hydrochloride 60 mg per ml, 15 ml","S01EB01","Y","eye drops","P",60,60,NA,"per ml, 15 ml","P"
"85","02816F","DALTEPARIN SODIUM","injection containing dalteparin sodium 5,000 i.u. (anti-xa) in 0.2 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"86","02995P","SALCATONIN","injection 50 i.u. in 1 ml ampoule","H05BA01","Y","injection","P",NA,NA,NA,NA,"P"
"87","02997R","SALCATONIN","injection 100 i.u. in 1 ml ampoule","H05BA01","Y","injection","P",NA,NA,NA,NA,"P"
"88","03012M","POTASSIUM CHLORIDE + POTASSIUM BICARBONATE + POTASSIUM CARBONATE","tablet, effervescent, 14 mmol potassium and 8 mmol chloride","A12BA01","Y","tablet","O",NA,NA,NA,NA,"O"
"89","03064G","LACTULOSE","solution bp 3.34 g per 5 ml, 500 ml","A06AD11","Y","UNKNOWN","UNKNOWN",3340,NA,3.34,"per 5 ml, 500 ml","UNKNOWN"
"90","03094W","CEPHALEXIN","granules for oral suspension 125 mg per 5 ml, 100 ml","J01DB01","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"91","03095X","CEPHALEXIN","granules for oral suspension 250 mg per 5 ml, 100 ml","J01DB01","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"92","03164M","DIGOXIN","paediatric oral solution 50 mg per ml, 60 ml","C01AA05","Y","oral","O",50,50,NA,"per ml, 60 ml","O"
"93","03302T","AMOXYCILLIN","powder for oral suspension 125 mg (as trihydrate) per 5 ml, 100 ml","J01CA04","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"94","03310F","AMOXYCILLIN","powder for paediatric oral drops 100 mg (as trihydrate) per ml, 20 ml","J01CA04","Y","oral","O",100,100,NA,"per ml, 20 ml","O"
"95","03319Q","CEPHALEXIN","granules for oral suspension 125 mg per 5 ml, 100 ml","J01DB01","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"96","03320R","CEPHALEXIN","granules for oral suspension 250 mg per 5 ml, 100 ml","J01DB01","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"97","03332J","ERYTHROMYCIN","oral suspension equivalent to 125 mg erythromycin per 5 ml, 100 ml","J01FA01","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"98","03333K","ERYTHROMYCIN","oral suspension equivalent to 250 mg erythromycin per 5 ml, 100 ml","J01FA01","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"99","03334L","ERYTHROMYCIN ETHYLSUCCINATE","powder for oral liquid 200 mg (as ethyl succinate) per 5 ml, 100 ml","J01FA01","Y","oral","O",200,200,NA,"per 5 ml, 100 ml","O"
"100","03337P","ERYTHROMYCIN ETHYLSUCCINATE","powder for oral liquid 400 mg (as ethyl succinate) per 5 ml, 100 ml","J01FA01","Y","oral","O",400,400,NA,"per 5 ml, 100 ml","O"
"101","03341W","METRONIDAZOLE","oral suspension containing metronidazole benzoate 320 mg per 5 ml, 100 ml","J01XD01","Y","oral","O",320,320,NA,"per 5 ml, 100 ml","O"
"102","03342X","NYSTATIN","tablet 500,000 units","A07AA02","Y","tablet","O",NA,NA,NA,NA,"O"
"103","03345C","NYSTATIN","capsule 500,000 units","A07AA02","Y","capsule","O",NA,NA,NA,NA,"O"
"104","03348F","PARACETAMOL","oral liquid 120 mg per 5 ml, 100 ml","N02BE01","Y","oral","O",120,120,NA,"per 5 ml, 100 ml","O"
"105","03349G","PARACETAMOL","oral liquid 240 mg per 5 ml, 200 ml","N02BE01","Y","oral","O",240,240,NA,"per 5 ml, 200 ml","O"
"106","03365D","PHENOXYMETHYLPENICILLIN","oral suspension 125 mg (as benzathine) per 5 ml, 100 ml","J01CE10","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"107","03366E","PHENOXYMETHYLPENICILLIN","oral suspension 250 mg (as benzathine) per 5 ml, 100 ml","J01CE10","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"108","03393N","AMOXYCILLIN","powder for oral suspension 250 mg (as trihydrate) per 5 ml, 100 ml","J01CA04","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"109","05009P","AMOXYCILLIN + CLAVULANIC ACID","powder for oral suspension containing 125 mg amoxycillin (as trihydrate) with 31.25 mg clavulanic acid (as potassium clavulanate) per 5 ml, 75 ml","J01CR02","Y","oral","O",125,125,NA,"per 5 ml, 75 ml","O"
"110","05011R","AMOXYCILLIN + CLAVULANIC ACID","powder for oral suspension containing 400 mg amoxycillin (as trihydrate) with 57 mg clavulanic acid (as potassium clavulanate) per 5 ml, 60 ml","J01CR02","Y","oral","O",400,400,NA,"per 5 ml, 60 ml","O"
"111","05012T","PHENOXYMETHYLPENICILLIN","oral suspension 150 mg (as benzathine) per 5 ml, 100 ml","J01CE10","Y","oral","O",150,150,NA,"per 5 ml, 100 ml","O"
"112","05024K","PHENOXYMETHYLPENICILLIN","powder for oral liquid 125 mg (as potassium) per 5 ml, 100 ml","J01CE02","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"113","05029Q","PHENOXYMETHYLPENICILLIN","powder for oral liquid 250 mg (as potassium) per 5 ml, 100 ml","J01CE02","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"114","05032W","BENZYDAMINE","mouth and throat rinse containing benzydamine hydrochloride 22.5 mg per 15 ml, 500 ml","A01AD02","Y","mouth","O",22.5,22.5,NA,"per 15 ml, 500 ml","O"
"115","05033X","BENZYDAMINE + CHLORHEXIDINE","mouth and throat rinse 22.5 mg-18 mg per 15 ml, 500 ml","A01AD02","Y","mouth","O",22.5,22.5,NA,"per 15 ml, 500 ml","O"
"116","05041H","CARBAMAZEPINE","oral suspension 100 mg per 5 ml, 300 ml","N03AF01","Y","oral","O",100,100,NA,"per 5 ml, 300 ml","O"
"117","05046N","CEFACLOR","powder for oral suspension 125 mg (as monohydrate) per 5 ml, 100 ml","J01DC04","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"118","05047P","CEFACLOR","powder for oral suspension 250 mg (as monohydrate) per 5 ml, 75 ml","J01DC04","Y","oral","O",250,250,NA,"per 5 ml, 75 ml","O"
"119","05190E","OXYCODONE","oral solution containing oxycodone hydrochloride 5 mg per 5 ml, 250 ml","N02AA05","Y","oral","O",5,5,NA,"per 5 ml, 250 ml","O"
"120","05225B","AMOXYCILLIN","powder for oral suspension 500 mg (as trihydrate) per 5 ml, 100 ml","J01CA04","Y","oral","O",500,500,NA,"per 5 ml, 100 ml","O"
"121","05237P","MORPHINE","oral solution containing morphine hydrochloride 2 mg per ml, 200 ml","N02AA01","Y","oral","O",2,2,NA,"per ml, 200 ml","O"
"122","05238Q","MORPHINE","oral solution containing morphine hydrochloride 5 mg per ml, 200 ml","N02AA01","Y","oral","O",5,5,NA,"per ml, 200 ml","O"
"123","05257Q","FLUCLOXACILLIN","powder for oral liquid 125 mg (as sodium) per 5 ml, 100 ml","J01CF05","Y","oral","O",125,125,NA,"per 5 ml, 100 ml","O"
"124","05258R","FLUCLOXACILLIN","powder for oral liquid 250 mg (as sodium) per 5 ml, 100 ml","J01CF05","Y","oral","O",250,250,NA,"per 5 ml, 100 ml","O"
"125","05339B","CLONAZEPAM","oral liquid 2.5 mg per ml, 10 ml","N03AE01","Y","oral","O",2.5,2.5,NA,"per ml, 10 ml","O"
"126","05342E","CLONAZEPAM","oral liquid 2.5 mg per ml, 10 ml","N03AE01","Y","oral","O",2.5,2.5,NA,"per ml, 10 ml","O"
"127","05385K","BENZYDAMINE","mouth and throat rinse containing benzydamine hydrochloride 22.5 mg per 15 ml, 500 ml","A01AD02","Y","mouth","O",22.5,22.5,NA,"per 15 ml, 500 ml","O"
"128","05386L","BENZYDAMINE","mouth and throat rinse containing benzydamine hydrochloride 22.5 mg per 15 ml, 500 ml","A01AD02","Y","mouth","O",22.5,22.5,NA,"per 15 ml, 500 ml","O"
"129","05387M","LACTULOSE","solution bp 3.34 g per 5 ml, 500 ml","A06AD11","Y","UNKNOWN","UNKNOWN",3340,NA,3.34,"per 5 ml, 500 ml","UNKNOWN"
"130","05388N","LACTULOSE","solution bp 3.34 g per 5 ml, 500 ml","A06AD11","Y","UNKNOWN","UNKNOWN",3340,NA,3.34,"per 5 ml, 500 ml","UNKNOWN"
"131","05397C","NAPROXEN","oral suspension 125 mg per 5 ml, 474 ml","M01AE02","Y","oral","O",125,125,NA,"per 5 ml, 474 ml","O"
"132","05398D","NAPROXEN","oral suspension 125 mg per 5 ml, 474 ml","M01AE02","Y","oral","O",125,125,NA,"per 5 ml, 474 ml","O"
"133","05399E","METHADONE","oral liquid containing methadone hydrochloride 25 mg per 5 ml, 200 ml","N02AC","Y","oral","O",25,25,NA,"per 5 ml, 200 ml","O"
"134","05400F","METHADONE","oral liquid containing methadone hydrochloride 25 mg per 5 ml, 200 ml","N02AC","Y","oral","O",25,25,NA,"per 5 ml, 200 ml","O"
"135","05445N","DALTEPARIN SODIUM","injection containing dalteparin sodium 12,500 i.u. (anti-xa) in 0.5 ml single dose pre-filled syringe","B01AB04","Y","injection","P",NA,NA,NA,NA,"P"
"136","05499K","CEFUROXIME","powder for oral suspension 125 mg (as axetil) per 5 ml, 70 ml","J01DC02","Y","oral","O",125,125,NA,"per 5 ml, 70 ml","O"
"137","05536J","PILOCARPINE","eye drops containing pilocarpine hydrochloride 10 mg per ml, 15 ml","S01EB01","Y","eye drops","P",10,10,NA,"per ml, 15 ml","P"
"138","05537K","PILOCARPINE","eye drops containing pilocarpine hydrochloride 20 mg per ml, 15 ml","S01EB01","Y","eye drops","P",20,20,NA,"per ml, 15 ml","P"
"139","05540N","BRINZOLAMIDE","eye drops 10 mg per ml, 5 ml","S01EC04","Y","eye drops","P",10,10,NA,"per ml, 5 ml","P"
"140","05541P","DORZOLAMIDE","eye drops 20 mg (as hydrochloride) per ml, 5 ml","S01EC03","Y","eye drops","P",20,20,NA,"per ml, 5 ml","P"
"141","05602W","ABACAVIR","oral solution 20 mg (as sulfate) per ml, 240 ml","J05AF06","Y","oral","O",20,20,NA,"per ml, 240 ml","O"
"142","05630H","CLOZAPINE","oral liquid 50 mg per ml, 100 ml","N05AH02","Y","oral","O",50,50,NA,"per ml, 100 ml","O"
"143","05633L","CYCLOSPORIN","oral liquid 100 mg per ml, 50 ml","L04AD01","Y","oral","O",100,100,NA,"per ml, 50 ml","O"
"144","05707J","EFAVIRENZ","oral solution 30 mg per ml, 180 ml","J05AG03","Y","oral","O",30,30,NA,"per ml, 180 ml","O"
"145","05713Q","EPOETIN ALFA","injection 20,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"146","05714R","EPOETIN ALFA","injection 1,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"147","05715T","EPOETIN ALFA","injection 5,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"148","05716W","EPOETIN ALFA","injection 6,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"149","05717X","EPOETIN ALFA","injection 8,000 units in 0.8 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"150","05718Y","EPOETIN ALFA","injection 40,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"151","05719B","EPOETIN ALFA","injection 2,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"152","05720C","EPOETIN ALFA","injection 3,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"153","05721D","EPOETIN ALFA","injection 4,000 units in 0.4 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"154","05722E","EPOETIN ALFA","injection 10,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"155","05724G","EPOETIN BETA","injection 2,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"156","05725H","EPOETIN BETA","injection 3,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"157","05726J","EPOETIN BETA","injection 4,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"158","05727K","EPOETIN BETA","injection 5,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"159","05728L","EPOETIN BETA","injection 6,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"160","05729M","EPOETIN BETA","injection 10,000 units in 0.6 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
