"atc";"atc_name";"ddd_factor";"units";"adm_route";"note";"ddd_mg_factor"
"M05BB05";"alendronic acid, calcium and colecalciferol, sequential";10.0000;"mg";"O";"Refers to alendronic acid";10
"M05BB06";"alendronic acid and alfacalcidol, sequential";10.0000;"mg";"O";"Refers to alendronic acid";10
"M09AX01";"hyaluronic acid";3.6000;"mg";"P";"intraarticular";3.6
"P01BA01";"chloroquine";0.5000;"g";"O";"base";500
"P01BA01";"chloroquine";0.5000;"g";"P";"base";500
"P01BA02";"hydroxychloroquine";0.5160;"g";"O";"base";516
"P01BA03";"primaquine";15.0000;"mg";"O";"base";15
"P01BB01";"proguanil";0.2000;"g";"O";"hydrochloride, (prophylactic daily dose)";200
"P01BC01";"quinine";1.5000;"g";"O";"base";1500
"P01BC01";"quinine";1.5000;"g";"P";"base";1500
"P01BC02";"mefloquine";1.0000;"g";"O";"base";1000
"P01BD51";"pyrimethamine, combinations";75.0000;"mg";"O";"Expressed as pyrimethamine";75
"P01BF01";"artemether and lumefantrine";0.2800;"g";"O";"Expressed as arthemether";280
"P01CB01";"meglumine antimonate";0.8500;"g";"P";"Sb5+";850
"P01CB02";"sodium stibogluconate";0.8500;"g";"P";"Sb5+";850
"P01CX01";"pentamidine isethionate";0.2800;"g";"P";"per injection";280
"P02CB01";"piperazine";3.5000;"g";"O";"as hydrate";3500
"R01BA51";"phenylpropanolamine, combinations";0.1000;"g";"O";"Refers to phenylpropanolamine";100
"R01BA52";"pseudoephedrine, combinations";0.2400;"g";"O";"Refers to pseudoephedrine";240
"R03BB04";"tiotropium bromide";10.0000;"mcg";"Inhal.powder";"delivered dose";0.01
"R05CA04";"ipecacuanha";4.0000;"mg";"O";"emetine";4
"R05CA05";"althea root";1.6000;"g";"O";"root";1600
"R05CA06";"senega";3.0000;"g";"O";"root";3000
"R05DB21";"cloperastine";60.0000;"mg";"O";"Expressed as cloperastine hydrochloride";60
"R06AA02";"diphenhydramine";0.2000;"g";"O";"chloride";200
"R06AA02";"diphenhydramine";0.3000;"g";"O";"teoclate";300
"R06AA02";"diphenhydramine";0.2000;"g";"R";"chloride";200
"R06AA02";"diphenhydramine";0.3000;"g";"R";"teoclate";300
"V03AE03";"lanthanum carbonate";2.2500;"g";"O";"Expressed as lanthanum";2250
"V03AF03";"calcium folinate";60.0000;"mg";"O";"Expressed as folinic acid";60
"V03AF03";"calcium folinate";60.0000;"mg";"P";"Expressed as folinic acid";60
"V03AF04";"calcium levofolinate";30.0000;"mg";"O";"Expressed as levofolinic acid";30
"V03AF04";"calcium levofolinate";30.0000;"mg";"P";"Expressed as levofolinic acid";30
"V03AF06";"sodium folinate";60.0000;"mg";"P";"Expressed as folinic acid";60
"V03AF10";"sodium levofolinate";30.0000;"mg";"P";"Expressed as levofolinic acid";30
"N02AA01";"morphine";0.1000;"g";"O";"N/A";100
"N02AA01";"morphine";30.0000;"mg";"P";"N/A";30
"N02AA01";"morphine";30.0000;"mg";"R";"N/A";30
"N02AA03";"hydromorphone";20.0000;"mg";"O";"N/A";20
"N02AA03";"hydromorphone";4.0000;"mg";"P";"N/A";4
"N02AA03";"hydromorphone";4.0000;"mg";"R";"N/A";4
"N02AA04";"nicomorphine";30.0000;"mg";"O";"N/A";30
"N02AA04";"nicomorphine";30.0000;"mg";"P";"N/A";30
"N02AA04";"nicomorphine";30.0000;"mg";"R";"N/A";30
"N02AA05";"oxycodone";75.0000;"mg";"O";"N/A";75
"N02AA05";"oxycodone";30.0000;"mg";"P";"N/A";30
"N02AA08";"dihydrocodeine";0.1500;"g";"O";"N/A";150
"N02AB01";"ketobemidone";50.0000;"mg";"O";"N/A";50
"N02AB01";"ketobemidone";50.0000;"mg";"P";"N/A";50
"N02AB02";"pethidine";0.4000;"g";"O";"N/A";400
"N02AB02";"pethidine";0.4000;"g";"R";"N/A";400
"N02AB03";"fentanyl";0.6000;"mg";"N";"N/A";0.6
"N02AB03";"fentanyl";0.6000;"mg";"SL";"N/A";0.6
"N02AB03";"fentanyl";1.2000;"mg";"TD";"N/A";1.2
"N02AC01";"dextromoramide";20.0000;"mg";"O";"N/A";20
"N02AC01";"dextromoramide";20.0000;"mg";"P";"N/A";20
"N02AC01";"dextromoramide";40.0000;"mg";"R";"N/A";40
"N02AC03";"piritramide";45.0000;"mg";"P";"N/A";45
"N02AC05";"bezitramide";15.0000;"mg";"O";"N/A";15
"N02AD01";"pentazocine";0.2000;"g";"O";"N/A";200
"N02AD01";"pentazocine";0.2000;"g";"P";"N/A";200
"N02AD02";"phenazocine";3.0000;"mg";"P";"N/A";3
"N02AE01";"buprenorphine";1.2000;"mg";"P";"N/A";1.2
"N02AE01";"buprenorphine";1.2000;"mg";"SL";"N/A";1.2
"N02AE01";"buprenorphine";1.2000;"mg";"TD";"N/A";1.2
"N02AF01";"butorphanol";12.0000;"mg";"P";"N/A";12
"N02AF02";"nalbuphine";80.0000;"mg";"P";"N/A";80
"N02AX01";"tilidine";0.2000;"g";"O";"N/A";200
"N02AX01";"tilidine";0.2000;"g";"P";"N/A";200
"N02AX02";"tramadol";0.3000;"g";"O";"N/A";300
"N02AX02";"tramadol";0.3000;"g";"P";"N/A";300
"N02AX02";"tramadol";0.3000;"g";"R";"N/A";300
"N02AX05";"meptazinol";1.2000;"g";"O";"N/A";1200
"N02AX05";"meptazinol";1.2000;"g";"P";"N/A";1200
"N02AX06";"tapentadol";0.4000;"g";"O";"N/A";400
"N02BA01";"acetylsalicylic acid";3.0000;"g";"O";"N/A";3000
"N02BA01";"acetylsalicylic acid";3.0000;"g";"R";"N/A";3000
"N02BA02";"aloxiprin";3.0000;"g";"O";"N/A";3000
"N02BA03";"choline salicylate";3.0000;"g";"O";"N/A";3000
"N02BA04";"sodium salicylate";3.0000;"g";"O";"N/A";3000
"N02BA05";"salicylamide";3.0000;"g";"O";"N/A";3000
"N02BA06";"salsalate";3.0000;"g";"O";"N/A";3000
"N02BA07";"ethenzamide";3.0000;"g";"O";"N/A";3000
"N02BA09";"dipyrocetyl";3.0000;"g";"O";"N/A";3000
"N02BA10";"benorilate";3.0000;"g";"O";"N/A";3000
"N02BA11";"diflunisal";0.7500;"g";"O";"N/A";750
"N02BA12";"potassium salicylate";7.0000;"g";"O";"N/A";7000
"N02BA15";"carbasalate calcium";3.6000;"g";"O";"N/A";3600
"N02BB01";"phenazone";3.0000;"g";"O";"N/A";3000
"N02BB02";"metamizole sodium";3.0000;"g";"O";"N/A";3000
"N02BB02";"metamizole sodium";3.0000;"g";"P";"N/A";3000
"N02BB02";"metamizole sodium";3.0000;"g";"R";"N/A";3000
"N02BB03";"aminophenazone";0.5000;"g";"R";"N/A";500
"N02BB04";"propyphenazone";3.0000;"g";"R";"N/A";3000
"N02BE01";"paracetamol";3.0000;"g";"O";"N/A";3000
"N02BE01";"paracetamol";3.0000;"g";"P";"N/A";3000
"N02BE01";"paracetamol";3.0000;"g";"R";"N/A";3000
"N02BE03";"phenacetin";1.8000;"g";"O";"N/A";1800
"N02BE05";"propacetamol";6.0000;"g";"P";"N/A";6000
"N02BG02";"rimazolium";0.9000;"g";"O";"N/A";900
"N02BG03";"glafenine";0.8000;"g";"O";"N/A";800
"N02BG04";"floctafenine";1.0000;"g";"O";"N/A";1000
"N02BG07";"flupirtine";0.4000;"g";"O";"N/A";400
"N02BG08";"ziconotide";12.0000;"mcg";"P";"N/A";0.012
"N02CA01";"dihydroergotamine";1.0000;"mg";"N";"N/A";1
"N02CA01";"dihydroergotamine";4.0000;"mg";"O";"N/A";4
"N02CA01";"dihydroergotamine";4.0000;"mg";"P";"N/A";4
"N02CA02";"ergotamine";4.0000;"mg";"Inh.aerosol";"N/A";4
"N02CA02";"ergotamine";4.0000;"mg";"O";"N/A";4
"N02CA02";"ergotamine";4.0000;"mg";"P";"N/A";4
"N02CA02";"ergotamine";4.0000;"mg";"R";"N/A";4
"N02CA02";"ergotamine";4.0000;"mg";"SL";"N/A";4
"N02CA04";"methysergide";4.0000;"mg";"O";"N/A";4
"N02CB01";"flumedroxone";20.0000;"mg";"O";"N/A";20
"N02CC01";"sumatriptan";20.0000;"mg";"N";"N/A";20
"N02CC01";"sumatriptan";50.0000;"mg";"O";"N/A";50
"N02CC01";"sumatriptan";6.0000;"mg";"P";"N/A";6
"N02CC01";"sumatriptan";25.0000;"mg";"R";"N/A";25
"N02CC02";"naratriptan";2.5000;"mg";"O";"N/A";2.5
"N02CC03";"zolmitriptan";2.5000;"mg";"N";"N/A";2.5
"N02CC03";"zolmitriptan";2.5000;"mg";"O";"N/A";2.5
"N02CC04";"rizatriptan";10.0000;"mg";"O";"N/A";10
"N02CC05";"almotriptan";12.5000;"mg";"O";"N/A";12.5
"N02CC06";"eletriptan";40.0000;"mg";"O";"N/A";40
"N02CC07";"frovatriptan";2.5000;"mg";"O";"N/A";2.5
"N02CX01";"pizotifen";1.5000;"mg";"O";"N/A";1.5
"N02CX02";"clonidine";0.1000;"mg";"O";"N/A";0.1
"N02CX03";"iprazochrome";24.0000;"mg";"O";"N/A";24
"N03AA01";"methylphenobarbital";0.5000;"g";"O";"N/A";500
"N03AA02";"phenobarbital";0.1000;"g";"O";"N/A";100
"N03AA02";"phenobarbital";0.1000;"g";"P";"N/A";100
"N03AA03";"primidone";1.2500;"g";"O";"N/A";1250
"N03AA30";"metharbital";0.2000;"g";"O";"N/A";200
"N03AB01";"ethotoin";2.5000;"g";"O";"N/A";2500
"N03AB02";"phenytoin";0.3000;"g";"O";"N/A";300
"N03AB02";"phenytoin";0.3000;"g";"P";"N/A";300
"N03AB03";"amino(diphenylhydantoin) valeric acid";0.3000;"g";"O";"N/A";300
"N03AB04";"mephenytoin";0.4000;"g";"O";"N/A";400
"N03AB05";"fosphenytoin";0.4500;"g";"P";"N/A";450
"N03AC01";"paramethadione";0.9000;"g";"O";"N/A";900
"N03AC02";"trimethadione";1.5000;"g";"O";"N/A";1500
"N03AD01";"ethosuximide";1.2500;"g";"O";"N/A";1250
"N03AD02";"phensuximide";2.0000;"g";"O";"N/A";2000
"N03AD03";"mesuximide";0.9000;"g";"O";"N/A";900
"N03AE01";"clonazepam";8.0000;"mg";"O";"N/A";8
"N03AE01";"clonazepam";8.0000;"mg";"P";"N/A";8
"N03AF01";"carbamazepine";1.0000;"g";"O";"N/A";1000
"N03AF01";"carbamazepine";1.0000;"g";"R";"N/A";1000
"N03AF02";"oxcarbazepine";1.0000;"g";"O";"N/A";1000
"N03AF03";"rufinamide";1.4000;"g";"O";"N/A";1400
"N03AF04";"eslicarbazepine";0.8000;"g";"O";"N/A";800
"N03AG01";"valproic acid";1.5000;"g";"O";"N/A";1500
"N03AG01";"valproic acid";1.5000;"g";"P";"N/A";1500
"N03AG01";"valproic acid";1.5000;"g";"R";"N/A";1500
"N03AG02";"valpromide";1.5000;"g";"O";"N/A";1500
"N03AG03";"aminobutyric acid";1.0000;"g";"O";"N/A";1000
"N03AG03";"aminobutyric acid";1.0000;"g";"P";"N/A";1000
"N03AG04";"vigabatrin";2.0000;"g";"O";"N/A";2000
"N03AG06";"tiagabine";30.0000;"mg";"O";"N/A";30
"N03AX03";"sultiame";0.4000;"g";"O";"N/A";400
"N03AX07";"phenacemide";1.5000;"g";"O";"N/A";1500
"N03AX09";"lamotrigine";0.3000;"g";"O";"N/A";300
"N03AX10";"felbamate";2.4000;"g";"O";"N/A";2400
"N03AX11";"topiramate";0.3000;"g";"O";"N/A";300
"N03AX12";"gabapentin";1.8000;"g";"O";"N/A";1800
"N03AX14";"levetiracetam";1.5000;"g";"O";"N/A";1500
"N03AX14";"levetiracetam";1.5000;"g";"P";"N/A";1500
"N03AX15";"zonisamide";0.2000;"g";"O";"N/A";200
"N03AX16";"pregabalin";0.3000;"g";"O";"N/A";300
"N03AX17";"stiripentol";1.0000;"g";"O";"N/A";1000
"N03AX18";"lacosamide";0.3000;"g";"O";"N/A";300
"N03AX18";"lacosamide";0.3000;"g";"P";"N/A";300
"N03AX21";"retigabine";0.9000;"g";"O";"N/A";900
"N03AX22";"perampanel";8.0000;"mg";"O";"N/A";8
"N03AX23";"brivaracetam";0.1000;"g";"O";"N/A";100
"N03AX23";"brivaracetam";0.1000;"g";"P";"N/A";100
"N04AA01";"trihexyphenidyl";10.0000;"mg";"O";"N/A";10
"N04AA02";"biperiden";10.0000;"mg";"O";"N/A";10
"N04AA02";"biperiden";10.0000;"mg";"P";"N/A";10
"N04AA03";"metixene";40.0000;"mg";"O";"N/A";40
"N04AA04";"procyclidine";25.0000;"mg";"O";"N/A";25
"N04AA04";"procyclidine";25.0000;"mg";"P";"N/A";25
"N04AA08";"dexetimide";0.5000;"mg";"O";"N/A";0.5
"N04AA08";"dexetimide";0.1250;"mg";"P";"N/A";0.125
"N04AB02";"orphenadrine (chloride)";0.2000;"g";"O";"N/A";200
"N04AB02";"orphenadrine (chloride)";0.2000;"g";"P";"N/A";200
"N04AC01";"benzatropine";2.0000;"mg";"O";"N/A";2
"N04AC01";"benzatropine";2.0000;"mg";"P";"N/A";2
"N04AC30";"etybenzatropine";9.0000;"mg";"O";"N/A";9
"N04BA01";"levodopa";3.5000;"g";"O";"N/A";3500
"N04BB01";"amantadine";0.2000;"g";"O";"N/A";200
"N04BC01";"bromocriptine";40.0000;"mg";"O";"N/A";40
"N04BC02";"pergolide";3.0000;"mg";"O";"N/A";3
"N04BC04";"ropinirole";6.0000;"mg";"O";"N/A";6
"N04BC06";"cabergoline";3.0000;"mg";"O";"N/A";3
"N04BC07";"apomorphine";20.0000;"mg";"P";"N/A";20
"N04BC08";"piribedil";0.2000;"g";"O";"N/A";200
"N04BC09";"rotigotine";6.0000;"mg";"TD patch";"N/A";6
"N04BD01";"selegiline";5.0000;"mg";"O";"N/A";5
"N04BD02";"rasagiline";1.0000;"mg";"O";"N/A";1
"N04BD03";"safinamide";75.0000;"mg";"O";"N/A";75
"N04BX01";"tolcapone";0.4500;"g";"O";"N/A";450
"N04BX02";"entacapone";1.0000;"g";"O";"N/A";1000
"N05AA01";"chlorpromazine";0.3000;"g";"O";"N/A";300
"N05AA01";"chlorpromazine";0.1000;"g";"P";"N/A";100
"N05AA01";"chlorpromazine";0.3000;"g";"R";"N/A";300
"N05AA02";"levomepromazine";0.3000;"g";"O";"N/A";300
"N05AA02";"levomepromazine";0.1000;"g";"P";"N/A";100
"N05AA03";"promazine";0.3000;"g";"O";"N/A";300
"N05AA03";"promazine";0.1000;"g";"P";"N/A";100
"N05AA04";"acepromazine";0.1000;"g";"O";"N/A";100
"N05AA04";"acepromazine";50.0000;"mg";"P";"N/A";50
"N05AA05";"triflupromazine";0.1000;"g";"O";"N/A";100
"N05AA05";"triflupromazine";0.1000;"g";"P";"N/A";100
"N05AB01";"dixyrazine";50.0000;"mg";"O";"N/A";50
"N05AB01";"dixyrazine";30.0000;"mg";"P";"N/A";30
"N05AB02";"fluphenazine";10.0000;"mg";"O";"N/A";10
"N05AB03";"perphenazine";30.0000;"mg";"O";"N/A";30
"N05AB03";"perphenazine";10.0000;"mg";"P";"N/A";10
"N05AB03";"perphenazine";16.0000;"mg";"R";"N/A";16
"N05AB04";"prochlorperazine";0.1000;"g";"O";"N/A";100
"N05AB04";"prochlorperazine";50.0000;"mg";"P";"N/A";50
"N05AB04";"prochlorperazine";0.1000;"g";"R";"N/A";100
"N05AB05";"thiopropazate";60.0000;"mg";"O";"N/A";60
"N05AB06";"trifluoperazine";20.0000;"mg";"O";"N/A";20
"N05AB06";"trifluoperazine";8.0000;"mg";"P";"N/A";8
"N05AB06";"trifluoperazine";20.0000;"mg";"R";"N/A";20
"N05AB07";"acetophenazine";50.0000;"mg";"O";"N/A";50
"N05AB08";"thioproperazine";75.0000;"mg";"O";"N/A";75
"N05AB08";"thioproperazine";20.0000;"mg";"P";"N/A";20
"N05AB09";"butaperazine";10.0000;"mg";"O";"N/A";10
"N05AB10";"perazine";0.1000;"g";"O";"N/A";100
"N05AB10";"perazine";0.1000;"g";"P";"N/A";100
"N05AC01";"periciazine";50.0000;"mg";"O";"N/A";50
"N05AC01";"periciazine";20.0000;"mg";"P";"N/A";20
"N05AC02";"thioridazine";0.3000;"g";"O";"N/A";300
"N05AC03";"mesoridazine";0.2000;"g";"O";"N/A";200
"N05AC03";"mesoridazine";0.2000;"g";"P";"N/A";200
"N05AC04";"pipotiazine";10.0000;"mg";"O";"N/A";10
"N05AD01";"haloperidol";8.0000;"mg";"O";"N/A";8
"N05AD01";"haloperidol";8.0000;"mg";"P";"N/A";8
"N05AD02";"trifluperidol";2.0000;"mg";"O";"N/A";2
"N05AD03";"melperone";0.3000;"g";"O";"N/A";300
"N05AD03";"melperone";0.3000;"g";"P";"N/A";300
"N05AD04";"moperone";20.0000;"mg";"O";"N/A";20
"N05AD04";"moperone";20.0000;"mg";"P";"N/A";20
"N05AD05";"pipamperone";0.2000;"g";"O";"N/A";200
"N05AD06";"bromperidol";10.0000;"mg";"O";"N/A";10
