drug1	drug2
Amiodarone	 TRICYCLICS 
Amiodarone	 PHENYTOIN  
Amiodarone	 MIZOLASTINE 
Amiodarone	 CHLOROQUINE 
Amiodarone	 QUININE 
Amiodarone	 TOLTERODINE 
Amiodarone	 ANTIPSYCHOTICS  
Amiodarone	 PIMOZIDE  
Amiodarone	 ZUCLOPENTHIXOL 
Amiodarone	 SULPIRIDE 
Amiodarone	 SIMEPREVIR  
Amiodarone	 RITONAVIR  
Amiodarone	 TELAPREVIR  
Amiodarone	 ATOMOXETINE 
Amiodarone	 BETA- BLOCKERS 
Amiodarone	 BETA-BLOCKERS 
Amiodarone	 SOTALOL 
Amiodarone	 VERAPAMIL 
Amiodarone	 DIGOXIN  
Amiodarone	 COBICISTAT 
Amiodarone	 COLCHICINE 
Amiodarone	 ARSENIC TRIOXIDE 
Amiodarone	 FINGOLIMOD 
Amiodarone	 IVABRADINE 
Amiodarone	 SIMVASTATIN  
Amiodarone	 LOMITAPIDE 
Amiodarone	 LITHIUM  
Amiodarone	 PENTAMIDINE ISETIONATE 
Amphotericin	 CARDIAC GLYCOSIDES 
Anabolic Steroids	 PHENINDIONE 
Anaesthetics, General	 ADRENERGIC NEURONE BLOCKERS 
Anaesthetics, General	 ALPHA-BLOCKERS 
Anaesthetics, General	 DROPERIDOL 
Anaesthetics, General	 VERAPAMIL  
Anaesthetics, General	 METHOTREXATE 
Anaesthetics, General	 LEVODOPA 
Anagrelide	 CILOSTAZOL 
Anagrelide	 ENOXIMONE  
Anagrelide	 MILRINONE 
Anakinra	 GOLIMUMAB  
Anakinra	 INFLIXIMAB 
Anakinra	 ETANERCEPT 
Anakinra	 VACCINES 
Angiotensin-II Receptor Antagonists	 ACE INHIBITORS 
Angiotensin-II Receptor Antagonists	 ALISKIREN 
Antidepressants, SSRI	 AMINOPHYLLINE  
Antidepressants, SSRI	 TRAMADOL 
Antidepressants, SSRI	 PROPAFENONE 
Antidepressants, SSRI	 TELITHROMYCIN 
Antidepressants, SSRI	 DABIGATRAN 
Antidepressants, SSRI	 MAOIS 
Antidepressants, SSRI	 MOCLOBEMIDE  
Antidepressants, SSRI	 TRICYCLICS  
Antidepressants, SSRI	 ANTIEPILEPTICS  
Antidepressants, SSRI	 PHENYTOIN 
Antidepressants, SSRI	 CYPROHEPTADINE 
Antidepressants, SSRI	 ARTEMETHER WITH LUMEFANTRINE  
Antidepressants, SSRI	 QUININE 
Antidepressants, SSRI	 DROPERIDOL  
Antidepressants, SSRI	 CLOZAPINE 
Antidepressants, SSRI	 PERPHENAZINE  
Antidepressants, SSRI	 PIMOZIDE  
Antidepressants, SSRI	 RISPERIDONE  
Antidepressants, SSRI	 RITONAVIR 
Antidepressants, SSRI	 ZOLPIDEM 
Antidepressants, SSRI	 PROPRANOLOL 
Antidepressants, SSRI	 SOTALOL  
Antidepressants, SSRI	 CLOPIDOGREL 
Antidepressants, SSRI	 DAPOXETINE  
Antidepressants, SSRI	 SELEGILINE  
Antidepressants, SSRI	 TAMOXIFEN  
Antidepressants, SSRI	 FROVATRIPTAN 
Antidepressants, SSRI	 ZOLMITRIPTAN  
Antidepressants, Tricyclic	 ALCOHOL 
Antidepressants, Tricyclic	 OPIOID ANALGESICS 
Antidepressants, Tricyclic	 PROPAFENONE 
Antidepressants, Tricyclic	 MOXIFLOXACIN 
Antidepressants, Tricyclic	 TELITHROMYCIN 
Antidepressants, Tricyclic	 COUMARINS 
Antidepressants, Tricyclic	 ESCITALOPRAM  
Antidepressants, Tricyclic	 MAOIS 
Antidepressants, Tricyclic	 FOSPHENYTOIN  
Antidepressants, Tricyclic	 PRIMIDONE  
Antidepressants, Tricyclic	 ARTENIMOL WITH PIPERAQUINE 
Antidepressants, Tricyclic	 FLUPHENAZINE 
Antidepressants, Tricyclic	 ZUCLOPENTHIXOL  
Antidepressants, Tricyclic	 RISPERIDONE 
Antidepressants, Tricyclic	 SAQUINAVIR 
Antidepressants, Tricyclic	 ATOMOXETINE 
Antidepressants, Tricyclic	 SOTALOL 
Antidepressants, Tricyclic	 CLONIDINE 
Antidepressants, Tricyclic	 ARSENIC TRIOXIDE 
Antidepressants, Tricyclic	 DAPOXETINE  
Antidepressants, Tricyclic	 ENTACAPONE 
Antidepressants, Tricyclic	 SELEGILINE 
Antidepressants, Tricyclic	 METHYLTHIONINIUM 
Antidepressants, Tricyclic	 PENTAMIDINE ISETIONATE 
Antidepressants, Tricyclic	 PHENYLEPHRINE 
Antidepressants, Tricyclic (related)	 ALCOHOL 
Antidepressants, Tricyclic (related)	 MOCLOBEMIDE  
Antidepressants, Tricyclic (related)	 CARBAMAZEPINE 
Antidepressants, Tricyclic (related)	 PRIMIDONE  
Antidepressants, Tricyclic (related)	 ARTEMETHER WITH LUMEFANTRINE  
Antidepressants, Tricyclic (related)	 ARTENIMOL WITH PIPERAQUINE 
Antidiabetics	 NSAIDS 
Antidiabetics	 PARACETAMOL  
Antidiabetics	 RIFAMYCINS  
Antidiabetics	 TRIMETHOPRIM 
Antidiabetics	 COUMARINS 
Antidiabetics	 KETOCONAZOLE 
Antidiabetics	 VORICONAZOLE 
Antidiabetics	 BOSENTAN 
Antidiabetics	 VANDETANIB  
Antidiabetics	 LOMITAPIDE 
Antifungals, Imidazole	 TAMSULOSIN 
Antifungals, Imidazole	 AMINOPHYLLINE 
Antifungals, Imidazole	 PARACETAMOL 
Antifungals, Imidazole	 DRONEDARONE 
Antifungals, Imidazole	 TELITHROMYCIN 
Antifungals, Imidazole	 RIVAROXABAN 
Antifungals, Imidazole	 MIRTAZAPINE 
Antifungals, Imidazole	 GLIPIZIDE 
Antifungals, Imidazole	 TOLBUTAMIDE 
Antifungals, Imidazole	 SULFONYLUREAS 
Antifungals, Imidazole	 CARBAMAZEPINE 
Antifungals, Imidazole	 PERAMPANEL 
Antifungals, Imidazole	 MIZOLASTINE  
Antifungals, Imidazole	 MEFLOQUINE 
Antifungals, Imidazole	 SOLIFENACIN 
Antifungals, Imidazole	 TOLTERODINE 
Antifungals, Imidazole	 QUETIAPINE 
Antifungals, Imidazole	 DACLATASVIR 
Antifungals, Imidazole	 DARUNAVIR 
Antifungals, Imidazole	 TELAPREVIR  
Antifungals, Imidazole	 ZOLPIDEM 
Antifungals, Imidazole	 AVANAFIL 
Antifungals, Triazole	 ALISKIREN 
Antifungals, Triazole	 AMINOPHYLLINE 
Antifungals, Triazole	 IBUPROFEN  
Antifungals, Triazole	 METHADONE  
Antifungals, Triazole	 OXYCODONE 
Antifungals, Triazole	 DRONEDARONE 
Antifungals, Triazole	 RIFABUTIN  
Antifungals, Triazole	 BEDAQUILINE 
Antifungals, Triazole	 APIXABAN 
Antifungals, Triazole	 RIVAROXABAN 
Antifungals, Triazole	 GLIPIZIDE 
Antifungals, Triazole	 SULFONYLUREAS 
Antifungals, Triazole	 CARBAMAZEPINE 
Antifungals, Triazole	 PHENYTOIN 
Antifungals, Triazole	 PHENOBARBITAL 
Antifungals, Triazole	 PRIMIDONE 
Antifungals, Triazole	 MIZOLASTINE 
Antifungals, Triazole	 ARTENIMOL WITH PIPERAQUINE  
Antifungals, Triazole	 SOLIFENACIN 
Antifungals, Triazole	 LURASIDONE  
Antifungals, Triazole	 PIMOZIDE 
Antifungals, Triazole	 RISPERIDONE 
Antifungals, Triazole	 ATAZANAVIR  
Antifungals, Triazole	 TIPRANAVIR 
Antifungals, Triazole	 RITONAVIR 
Antifungals, Triazole	 SAQUINAVIR 
Antifungals, Triazole	 ZIDOVUDINE  
Antifungals, Triazole	 DIAZEPAM  
Antifungals, Triazole	 BUSPIRONE  
Antifungals, Triazole	 AVANAFIL 
Antifungals, Triazole	 BOSENTAN 
Antifungals, Triazole	 CALCIUM-CHANNEL 
Antifungals, Triazole	 DIHYDROPYRIDINES  
Antifungals, Triazole	 DIGOXIN 
Antifungals, Triazole	 CICLOSPORIN  
Antifungals, Triazole	 CILOSTAZOL  
Antifungals, Triazole	 CLOPIDOGREL 
Antifungals, Triazole	 COLCHICINE  
Antifungals, Triazole	 METHYLPREDNISOLONE 
Antifungals, Triazole	 FLUTICASONE 
Antifungals, Triazole	 BUSULFAN 
Antifungals, Triazole	 CABOZANTINIB 
Antifungals, Triazole	 PONATINIB 
Antifungals, Triazole	 RUXOLITINIB 
Antifungals, Triazole	 VINBLASTINE 
Antifungals, Triazole	 VINCRISTINE  
Antifungals, Triazole	 DAPOXETINE  
Antifungals, Triazole	 HYDROCHLOROTHIAZIDE 
Antifungals, Triazole	 DOMPERIDONE 
Antifungals, Triazole	 ERGOTAMINE 
Antifungals, Triazole	 ELETRIPTAN  
Antimuscarinics	 DISOPYRAMIDE 
Antimuscarinics	 ITRACONAZOLE 
Antimuscarinics	 ITRACONAZOLE 
Antimuscarinics	 TIPRANAVIR 
Antimuscarinics	 RITONAVIR  
Antimuscarinics	 RITONAVIR 
Antimuscarinics	 SOTALOL 
Antipsychotics	 GENERAL ANAESTHETICS 
Antipsychotics	 OPIOID ANALGESICS 
Antipsychotics	 AMIODARONE 
Antipsychotics	 DISOPYRAMIDE 
Antipsychotics	 DISOPYRAMIDE 
Antipsychotics	 FLECAINIDE 
Antipsychotics	 TELITHROMYCIN 
Antipsychotics	 CLARITHROMYCIN 
Antipsychotics	 ERYTHROMYCIN  
Antipsychotics	 ERYTHROMYCIN 
Antipsychotics	 CIPROFLOXACIN 
Antipsychotics	 MOXIFLOXACIN 
Antipsychotics	 CHLORAMPHENICOL  
Antipsychotics	 MACROLIDES  
Antipsychotics	 TELITHROMYCIN 
Antipsychotics	 FLUOXETINE  
Antipsychotics	 PAROXETINE  
Antipsychotics	 FLUVOXAMINE 
Antipsychotics	 SERTRALINE 
Antipsychotics	 TRICYCLICS 
Antipsychotics	 CARBAMAZEPINE  
Antipsychotics	 CARBAMAZEPINE 
Antipsychotics	 PHENOBARBITAL 
Antipsychotics	 FOSPHENYTOIN 
Antipsychotics	 PRIMIDONE  
Antipsychotics	 VALPROIC ACID 
Antipsychotics	 FLUCONAZOLE  
Antipsychotics	 VORICONAZOLE 
Antipsychotics	 TRIAZOLES 
Antipsychotics	 ARTENIMOL WITH PIPERAQUINE  
Antipsychotics	 QUININE 
Antipsychotics	 MEFLOQUINE  
Antipsychotics	 MEFLOQUINE 
Antipsychotics	 QUININE 
Antipsychotics	 HALOPERIDOL 
Antipsychotics	 ZUCLOPENTHIXOL  
Antipsychotics	 PIMOZIDE  
Antipsychotics	 SULPIRIDE 
Antipsychotics	 FOSAMPRENAVIR 
Antipsychotics	 SAQUINAVIR  
Antipsychotics	 LOPINAVIR 
Antipsychotics	 TIPRANAVIR 
Antipsychotics	 TELAPREVIR 
Antipsychotics	 SAQUINAVIR  
Antipsychotics	 EFAVIRENZ  
Antipsychotics	 RITONAVIR  
Antipsychotics	 RITONAVIR 
Antipsychotics	 SAQUINAVIR 
Antipsychotics	 MIDAZOLAM 
Antipsychotics	 BENZODIAZEPINES  
Antipsychotics	 BUSPIRONE 
Antipsychotics	 APREPITANT 
Antipsychotics	 ATOMOXETINE 
Antipsychotics	 SOTALOL 
Antipsychotics	 SOTALOL 
Antipsychotics	 VERAPAMIL  
Antipsychotics	 COBICISTAT 
Antipsychotics	 COBICISTAT 
Antipsychotics	 VANDETANIB 
Antipsychotics	 ARSENIC TRIOXIDE 
Antipsychotics	 DIURETICS 
Anxiolytics and Hypnotics	 ITRACONAZOLE  
Anxiolytics and Hypnotics	 VORICONAZOLE  
Anxiolytics and Hypnotics	 OLANZAPINE 
Anxiolytics and Hypnotics	 ATAZANAVIR 
Anxiolytics and Hypnotics	 INDINAVIR 
Anxiolytics and Hypnotics	 TELAPREVIR  
Anxiolytics and Hypnotics	 SIMEPREVIR 
Anxiolytics and Hypnotics	 COBICISTAT 
Anxiolytics and Hypnotics	 IDELALISIB 
Apixaban	 DICLOFENAC  
Apixaban	 KETOROLAC  
Apixaban	 TELITHROMYCIN 
Apixaban	 RIFAMPICIN 
Apixaban	 ANTICOAGULANTS  
Apixaban	 RIVAROXABAN  
Apomorphine	 ONDANSETRON 
Aprepitant	 PIMOZIDE 
Aprepitant	 AVANAFIL 
Aprepitant	 IBRUTINIB 
Argatroban	 DICLOFENAC  
Argatroban	 KETOROLAC  
Argatroban	 RIVAROXABAN  
Arsenic Trioxide	 AMIODARONE  
Arsenic Trioxide	 DISOPYRAMIDE 
Arsenic Trioxide	 ERYTHROMYCIN 
Arsenic Trioxide	 MOXIFLOXACIN 
Arsenic Trioxide	 AMITRIPTYLINE  
Arsenic Trioxide	 CLOMIPRAMINE 
Arsenic Trioxide	 AMPHOTERICIN 
Arsenic Trioxide	 ARTENIMOL WITH PIPERAQUINE  
Arsenic Trioxide	 CLOZAPINE  
Arsenic Trioxide	 SOTALOL 
Arsenic Trioxide	 VANDETANIB 
Arsenic Trioxide	 ACETAZOLAMIDE 
Arsenic Trioxide	 THIAZIDES AND RELATED DIURETICS 
Arsenic Trioxide	 LITHIUM 
Artemether with Lumefantrine	 FLECAINIDE  
Artemether with Lumefantrine	 MACROLIDES  
Artemether with Lumefantrine	 QUINOLONES 
Artemether with Lumefantrine	 ANTIDEPRESSANTS 
Artemether with Lumefantrine	 IMIDAZOLES  
Artemether with Lumefantrine	 TRIAZOLES 
Artemether with Lumefantrine	 QUININE 
Artemether with Lumefantrine	 ANTIPSYCHOTICS 
Artemether with Lumefantrine	 INDINAVIR 
Artemether with Lumefantrine	 TIPRANAVIR 
Artemether with Lumefantrine	 ETRAVIRINE 
Artemether with Lumefantrine	 METOPROLOL  
Artemether with Lumefantrine	 SOTALOL 
Artemether with Lumefantrine	 VANDETANIB 
Artemether with Lumefantrine	 CIMETIDINE 
Artenimol with Piperaquine	 METHADONE  
Artenimol with Piperaquine	 AMIODARONE  
Artenimol with Piperaquine	 DISOPYRAMIDE  
Artenimol with Piperaquine	 MACROLIDES  
Artenimol with Piperaquine	 RIFAMPICIN 
Artenimol with Piperaquine	 ANTIDEPRESSANTS 
Artenimol with Piperaquine	 IMIDAZOLES  
Artenimol with Piperaquine	 TRIAZOLES  
Artenimol with Piperaquine	 MIZOLASTINE  
Artenimol with Piperaquine	 ARTEMETHER WITH LUMEFANTRINE 
Artenimol with Piperaquine	 DROPERIDOL 
Artenimol with Piperaquine	 PIMOZIDE  
Artenimol with Piperaquine	 SAQUINAVIR  
Artenimol with Piperaquine	 SOTALOL  
Artenimol with Piperaquine	 VINFLUNINE  
Artenimol with Piperaquine	 VINORELBINE 
Artenimol with Piperaquine	 DOMPERIDONE  
Aspirin	 IBUPROFEN 
Aspirin	 HEPARINS 
Aspirin	 VENLAFAXINE 
Aspirin	 PEMETREXED 
Aspirin	 LOOP DIURETICS  
Atazanavir	 LIDOCAINE 
Atazanavir	 TELITHROMYCIN 
Atazanavir	 VORICONAZOLE  
Atazanavir	 QUININE  
Atomoxetine	 TRAMADOL 
Atomoxetine	 AMIODARONE  
Atomoxetine	 DISOPYRAMIDE 
Atomoxetine	 MOXIFLOXACIN 
Atomoxetine	 TRICYCLICS 
Atomoxetine	 MEFLOQUINE 
Atomoxetine	 ANTIPSYCHOTICS  
Atomoxetine	 SOTALOL 
Atomoxetine	 DIURETICS 
Atovaquone	 TETRACYCLINE 
Atovaquone	 ZIDOVUDINE  
Avanafil	 ALPHA-BLOCKERS 
Avanafil	 TELITHROMYCIN 
Avanafil	 RIFAMPICIN 
Avanafil	 KETOCONAZOLE 
Avanafil	 FLUCONAZOLE 
Avanafil	 VORICONAZOLE 
Avanafil	 EFAVIRENZ 
Avanafil	 FOSAMPRENAVIR 
Avanafil	 RITONAVIR 
Avanafil	 APREPITANT 
Avanafil	 VERAPAMIL 
Avanafil	 NICORANDIL  
Avanafil	 NITRATES  
Avanafil	 RIOCIGUAT 
Axitinib	 CLOZAPINE  
Azathioprine	 ALLOPURINOL  
Azathioprine	 TRIMETHOPRIM  
Azathioprine	 COUMARINS 
Azathioprine	 RIBAVIRIN 
Azathioprine	 FEBUXOSTAT 
Aztreonam	 COUMARINS 
Basiliximab	 CLOZAPINE  
Basiliximab	 VACCINES 
Bedaquiline	 CLOFAZIMINE 
Bedaquiline	 FOSPHENYTOIN  
Bedaquiline	 PHENYTOIN 
Bee Venom Extracts	 ACE INHIBITORS 
Belimumab	 CLOZAPINE  
Belimumab	 VACCINES 
Bendamustine	 CLOZAPINE  
Beta-blockers	 ALPHA-BLOCKERS 
Beta-blockers	 BUPIVACAINE 
Beta-blockers	 ANTI-ARRHYTHMICS 
Beta-blockers	 DRONEDARONE 
Beta-blockers	 PROPAFENONE 
Beta-blockers	 DELAMANID 
Beta-blockers	 ESCITALOPRAM 
Beta-blockers	 TRICYCLICS 
Beta-blockers	 MIZOLASTINE 
Beta-blockers	 MEFLOQUINE 
Beta-blockers	 TOLTERODINE 
Beta-blockers	 PIMOZIDE  
Beta-blockers	 PHENOTHIAZINES 
Beta-blockers	 RISPERIDONE 
Beta-blockers	 TIPRANAVIR 
Beta-blockers	 ATOMOXETINE 
Beta-blockers	 VERAPAMIL  
Beta-blockers	 CICLOSPORIN 
Beta-blockers	 CLONIDINE  
Beta-blockers	 ARSENIC TRIOXIDE 
Bevacizumab	 CLOZAPINE  
Bevacizumab	 VACCINES 
Bexarotene	 CLOZAPINE  
Bile Acids	 CICLOSPORIN 
Bisphosphonates	 ESTRAMUSTINE 
Bivalirudin	 DICLOFENAC  
Bivalirudin	 KETOROLAC  
Bivalirudin	 RIVAROXABAN  
Bleomycin	 CLOZAPINE  
Bleomycin	 CISPLATIN 
Boceprevir	 RIFAMPICIN  
Boceprevir	 PRIMIDONE  
Boceprevir	 KETOCONAZOLE 
Boceprevir	 ARTEMETHER WITH LUMEFANTRINE 
Bortezomib	 RIFAMPICIN 
Bortezomib	 CLOZAPINE  
Bosentan	 RIFAMPICIN 
Bosutinib	 METHADONE 
Bosutinib	 AMIODARONE  
Bosutinib	 DRONEDARONE 
Bosutinib	 CLARITHROMYCIN 
Bosutinib	 RIFAMPICIN 
Bosutinib	 FOSPHENYTOIN 
Bosutinib	 PRIMIDONE 
Bosutinib	 FLUCONAZOLE 
Bosutinib	 VORICONAZOLE 
Bosutinib	 HYDROXYCHLOROQUINE 
Brentuximab vedotin	 KETOCONAZOLE 
Brentuximab vedotin	 CLOZAPINE  
Brentuximab vedotin	 BLEOMYCIN 
Brentuximab vedotin	 VACCINES 
Bupivacaine	 PROPRANOLOL 
Bupropion	 TRICYCLICS  
Bupropion	 TAMOXIFEN  
Bupropion	 METHYLTHIONINIUM 
Busulfan	 METRONIDAZOLE  
Busulfan	 CLOZAPINE  
Cabazitaxel	 RIFAMPICIN 
Cabazitaxel	 PRIMIDONE 
Cabazitaxel	 ITRACONAZOLE  
Cabazitaxel	 VORICONAZOLE 
Cabazitaxel	 CLOZAPINE  
Cabozantinib	 RIFAMPICIN 
Cabozantinib	 FOSPHENYTOIN 
Cabozantinib	 PRIMIDONE 
Cabozantinib	 CLOZAPINE  
Calcium-channel Blockers	 ALPHA-BLOCKERS 
Calcium-channel Blockers	 AMINOPHYLLINE 
Calcium-channel Blockers	 AMINOPHYLLINE  
Calcium-channel Blockers	 GENERAL ANAESTHETICS  
Calcium-channel Blockers	 FLECAINIDE 
Calcium-channel Blockers	 DRONEDARONE 
Calcium-channel Blockers	 DRONEDARONE 
Calcium-channel Blockers	 RIFAMPICIN  
Calcium-channel Blockers	 FIDAXOMICIN 
Calcium-channel Blockers	 DABIGATRAN  
Calcium-channel Blockers	 IMIPRAMINE 
Calcium-channel Blockers	 TRICYCLICS 
Calcium-channel Blockers	 PHENYTOIN  
Calcium-channel Blockers	 PHENYTOIN  
Calcium-channel Blockers	 PRIMIDONE 
Calcium-channel Blockers	 PRIMIDONE 
Calcium-channel Blockers	 PHENYTOIN 
Calcium-channel Blockers	 MICAFUNGIN 
Calcium-channel Blockers	 LURASIDONE  
Calcium-channel Blockers	 TELAPREVIR  
Calcium-channel Blockers	 AVANAFIL 
Calcium-channel Blockers	 BETA-BLOCKERS 
Calcium-channel Blockers	 BETA-BLOCKERS 
Calcium-channel Blockers	 DIGOXIN 
Calcium-channel Blockers	 CICLOSPORIN  
Calcium-channel Blockers	 COLCHICINE  
Calcium-channel Blockers	 VINCRISTINE 
Calcium-channel Blockers	 FINGOLIMOD 
Calcium-channel Blockers	 IVABRADINE 
Calcium-channel Blockers	 LENALIDOMIDE  
Canakinumab	 CLOZAPINE  
Canakinumab	 VACCINES 
Cannabis Extract	 RIFAMPICIN 
Cannabis Extract	 TRICYCLICS 
Cannabis Extract	 PRIMIDONE 
Capecitabine	 ALLOPURINOL 
Capecitabine	 COUMARINS 
Capecitabine	 CLOZAPINE  
Capecitabine	 FOLIC ACID 
Carbamazepine	 PARACETAMOL  
Carbamazepine	 PRAZIQUANTEL 
Carbamazepine	 CASPOFUNGIN 
Carbamazepine	 MEFLOQUINE 
Carbamazepine	 RISPERIDONE 
Carbamazepine	 PALIPERIDONE 
Carbamazepine	 RILPIVIRINE  
Carbamazepine	 SAQUINAVIR  
Carbamazepine	 ETRAVIRINE 
Carbamazepine	 EFAVIRENZ 
Carbamazepine	 RITONAVIR 
Carbamazepine	 NIFEDIPINE 
Carbamazepine	 VERAPAMIL 
Carbamazepine	 CANNABIS EXTRACT 
Carbamazepine	 CICLOSPORIN  
Carbamazepine	 CLOPIDOGREL 
Carbamazepine	 COBICISTAT 
Carbamazepine	 CORTICOSTEROIDS  
Carbamazepine	 PONATINIB 
Carbamazepine	 PROCARBAZINE 
Carbamazepine	 ACETAZOLAMIDE 
Carbamazepine	 EPLERENONE 
Carbamazepine	 TOREMIFENE  
Carbamazepine	 IVACAFTOR 
Carbamazepine	 SIMVASTATIN 
Carbamazepine	 OESTROGENS  
Carbamazepine	 ORLISTAT 
Carbamazepine	 PROGESTOGENS  
Cardiac Glycosides	 PROPAFENONE  
Cardiac Glycosides	 ITRACONAZOLE 
Cardiac Glycosides	 QUININE 
Cardiac Glycosides	 TELAPREVIR 
Cardiac Glycosides	 RITONAVIR 
Cardiac Glycosides	 NICARDIPINE 
Cardiac Glycosides	 NIFEDIPINE 
Cardiac Glycosides	 VERAPAMIL 
Cardiac Glycosides	 CICLOSPORIN  
Cardiac Glycosides	 COLCHICINE 
Carmustine	 CLOZAPINE  
Caspofungin	 CICLOSPORIN  
Caspofungin	 TACROLIMUS 
Catumaxomab	 CLOZAPINE  
Cephalosporins	 COUMARINS 
Certolizumab pegol	 ABATACEPT 
Certolizumab pegol	 ANAKINRA 
Certolizumab pegol	 CLOZAPINE  
Certolizumab pegol	 VACCINES 
Cetuximab	 CLOZAPINE  
Cetuximab	 VACCINES 
Chloramphenicol	 COUMARINS 
Chloramphenicol	 SULFONYLUREAS 
Chloramphenicol	 PRIMIDONE  
Chloramphenicol	 CLOZAPINE  
Chloramphenicol	 CICLOSPORIN 
Chloramphenicol	 CLOPIDOGREL 
Chloramphenicol	 TACROLIMUS 
Chloroprocaine	 SULFONAMIDES  
Ciclosporin	 ACE INHIBITORS 
Ciclosporin	 ALISKIREN 
Ciclosporin	 AMBRISENTAN  
Ciclosporin	 DICLOFENAC  
Ciclosporin	 ANGIOTENSIN-II RECEPTOR ANTAGONISTS 
Ciclosporin	 RIFAMPICIN  
Ciclosporin	 VANCOMYCIN 
Ciclosporin	 TRIMETHOPRIM 
Ciclosporin	 DABIGATRAN 
Ciclosporin	 PHENOBARBITAL 
Ciclosporin	 OXCARBAZEPINE 
Ciclosporin	 KETOCONAZOLE 
Ciclosporin	 MICONAZOLE  
Ciclosporin	 MICAFUNGIN 
Ciclosporin	 HYDROXYCHLOROQUINE  
Ciclosporin	 ATAZANAVIR  
Ciclosporin	 RITONAVIR 
Ciclosporin	 INDINAVIR 
Ciclosporin	 SAQUINAVIR 
Ciclosporin	 TELAPREVIR  
Ciclosporin	 CARVEDILOL 
Ciclosporin	 URSODEOXYCHOLIC ACID 
Ciclosporin	 BOSENTAN  
Ciclosporin	 NICARDIPINE  
Ciclosporin	 NIFEDIPINE  
Ciclosporin	 DIGOXIN  
Ciclosporin	 COLCHICINE 
Ciclosporin	 PREDNISOLONE 
Cilostazol	 ANAGRELIDE 
Cilostazol	 CLARITHROMYCIN  
Cilostazol	 ERYTHROMYCIN  
Cilostazol	 KETOCONAZOLE  
Cilostazol	 ITRACONAZOLE  
Cilostazol	 TELAPREVIR  
Cilostazol	 OMEPRAZOLE  
Cinacalcet	 TAMOXIFEN  
Cladribine	 CLOZAPINE  
Cladribine	 LAMIVUDINE 
Clindamycin	 NON- 
Clindamycin	 SUXAMETHONIUM 
Clofazimine	 BEDAQUILINE 
Clopidogrel	 CIPROFLOXACIN  
Clopidogrel	 ERYTHROMYCIN 
Clopidogrel	 HEPARINS 
Clopidogrel	 MOCLOBEMIDE 
Clopidogrel	 OXCARBAZEPINE 
Clopidogrel	 KETOCONAZOLE  
Clopidogrel	 VORICONAZOLE 
Co-beneldopa	 VOLATILE LIQUID GENERAL ANAESTHETICS 
Co-beneldopa	 MOCLOBEMIDE 
