"","pbs_code","bnf_drug_name","pbs_drug_name","atc_meaning","atc_code","match_type"
"35","01199D","CHLORPROMAZINE","CHLORPROMAZINE","CHLORPROMAZINE","N05AA01","dm_I"
"36","01201F","CHLORPROMAZINE","CHLORPROMAZINE","CHLORPROMAZINE","N05AA01","dm_I"
"37","01208N","CIPROFLOXACIN","CIPROFLOXACIN","CIPROFLOXACIN","J01MA02","dm_I"
"38","01209P","CIPROFLOXACIN","CIPROFLOXACIN","CIPROFLOXACIN","J01MA02","dm_I"
"39","01210Q","CIPROFLOXACIN","CIPROFLOXACIN","CIPROFLOXACIN","J01MA02","dm_I"
"40","01217C","CIPROFLOXACIN","CIPROFLOXACIN","CIPROFLOXACIN","S01AE03","dm_I"
"41","01220F","ABATACEPT","ABATACEPT","ABATACEPT","L04AA24","dm_I"
"42","01221G","ABATACEPT","ABATACEPT","ABATACEPT","L04AA24","dm_I"
"43","01227N","COLCHICINE","COLCHICINE","COLCHICINE","M04AC01","dm_I"
"44","01241H","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"45","01248Q","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"46","01249R","PHENYTOIN","PHENYTOIN","PHENYTOIN","N03AB02","dm_I"
"47","01250T","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"48","01253Y","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"49","01254B","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"50","01266P","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE","L01AA01","dm_I"
"51","02691P","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"52","01272Y","DAPSONE","DAPSONE","OTHER DERMATOLOGICALS","D11AX","dm_I"
"53","01285P","DANAZOL","DANAZOL","DANAZOL","G03XA01","dm_I"
"54","01287R","DANAZOL","DANAZOL","DANAZOL","G03XA01","dm_I"
"55","01288T","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASONE","S01BA01","dm_I"
"56","01292B","DEXAMETHASONE","DEXAMETHASONE","DEXAMETHASONE","H02AB02","dm_I"
"57","01299J","DICLOFENAC","DICLOFENAC","DICLOFENAC","M01AB05","dm_I"
"58","01300K","DICLOFENAC","DICLOFENAC","DICLOFENAC","M01AB05","dm_I"
"59","01302M","DICLOFENAC","DICLOFENAC","DICLOFENAC","M01AB05","dm_I"
"60","01304P","TADALAFIL","TADALAFIL","OTHER ANTIHYPERTENSIVES","C02KX","dm_I"
"61","01308W","TADALAFIL","TADALAFIL","OTHER ANTIHYPERTENSIVES","C02KX","dm_I"
"62","01309X","NILOTINIB","NILOTINIB","NILOTINIB","L01XE08","dm_I"
"63","01311B","CIPROFLOXACIN","CIPROFLOXACIN","CIPROFLOXACIN","J01MA02","dm_I"
"64","01312C","DILTIAZEM","DILTIAZEM","DILTIAZEM","C08DB01","dm_I"
"65","01313D","DILTIAZEM","DILTIAZEM","DILTIAZEM","C08DB01","dm_I"
"66","01322N","DIGOXIN","DIGOXIN","DIGOXIN","C01AA05","dm_I"
"67","01326T","OMEPRAZOLE","OMEPRAZOLE","OMEPRAZOLE","A02BC01","dm_I"
"68","01327W","OMEPRAZOLE","OMEPRAZOLE","OMEPRAZOLE","A02BC01","dm_I"
"69","01330B","TETRABENAZINE","TETRABENAZINE","TETRABENAZINE","N07XX06","dm_I"
"70","01332D","DICLOFENAC","DICLOFENAC","DICLOFENAC","M01AB05","dm_I"
"71","01335G","DILTIAZEM","DILTIAZEM","DILTIAZEM","C08DB01","dm_I"
"72","01336H","DOXORUBICIN","DOXORUBICIN","DOXORUBICIN","L01DB01","dm_I"
"73","01340M","DOXORUBICIN","DOXORUBICIN","DOXORUBICIN","L01DB01","dm_I"
"74","01342P","DOXORUBICIN","DOXORUBICIN","DOXORUBICIN","L01DB01","dm_I"
"75","01343Q","AMLODIPINE","AMLODIPINE","AMLODIPINE","C08CA01","dm_I"
"76","01345T","AMLODIPINE","AMLODIPINE","AMLODIPINE","C08CA01","dm_I"
"77","01347X","DOMPERIDONE","DOMPERIDONE","DOMPERIDONE","A03FA03","dm_I"
"78","01375J","EPIRUBICIN","EPIRUBICIN","EPIRUBICIN","L01DB03","dm_I"
"79","01376K","EPIRUBICIN","EPIRUBICIN","EPIRUBICIN","L01DB03","dm_I"
"80","01377L","EPIRUBICIN","EPIRUBICIN","EPIRUBICIN","L01DB03","dm_I"
"81","01381Q","DASATINIB","DASATINIB","DASATINIB","L01XE06","dm_I"
"82","01389D","ETOPOSIDE","ETOPOSIDE","ETOPOSIDE","L01CB01","dm_I"
"83","01390E","ETOPOSIDE","ETOPOSIDE","ETOPOSIDE","L01CB01","dm_I"
"84","01396L","ETOPOSIDE","ETOPOSIDE","ETOPOSIDE","L01CB01","dm_I"
"85","01400Q","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"86","01401R","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"87","01404X","ERYTHROMYCIN","ERYTHROMYCIN","ERYTHROMYCIN","J01FA01","dm_I"
"88","01413J","ETHOSUXIMIDE","ETHOSUXIMIDE","ETHOSUXIMIDE","N03AD01","dm_I"
"89","01414K","ETHOSUXIMIDE","ETHOSUXIMIDE","ETHOSUXIMIDE","N03AD01","dm_I"
"90","01415L","DASATINIB","DASATINIB","DASATINIB","L01XE06","dm_I"
"91","01416M","DASATINIB","DASATINIB","DASATINIB","L01XE06","dm_I"
"92","01418P","TICAGRELOR","TICAGRELOR","TICAGRELOR","B01AC24","dm_I"
"93","01434L","FLUOXETINE","FLUOXETINE","FLUOXETINE","N06AB03","dm_I"
"94","01437P","FOLIC ACID","FOLIC ACID","FOLIC ACID","B03BB01","dm_I"
"95","01441W","GENTAMICIN","GENTAMICIN","GENTAMICIN","S01AA11","dm_I"
"96","01443Y","BROMOCRIPTINE","BROMOCRIPTINE","BROMOCRIPTINE","G02CB01","dm_I"
"97","01444B","BROMOCRIPTINE","BROMOCRIPTINE","BROMOCRIPTINE","G02CB01","dm_I"
"98","01445C","BROMOCRIPTINE","BROMOCRIPTINE","BROMOCRIPTINE","N04BC01","dm_I"
"99","01446D","BROMOCRIPTINE","BROMOCRIPTINE","BROMOCRIPTINE","G02CB01","dm_I"
"100","01453L","GEMFIBROZIL","GEMFIBROZIL","GEMFIBROZIL","C10AB04","dm_I"
"101","01459T","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"102","01460W","GRISEOFULVIN","GRISEOFULVIN","GRISEOFULVIN","D01BA01","dm_I"
"103","01465D","TINIDAZOLE","TINIDAZOLE","TINIDAZOLE","J01XD02","dm_I"
"104","01471K","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","J02AC01","dm_I"
"105","01472L","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","J02AC01","dm_I"
"106","01473M","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","J02AC01","dm_I"
"107","01474N","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","J02AC01","dm_I"
"108","01475P","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","J02AC01","dm_I"
"109","01484D","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","C03AA03","dm_I"
"110","01512N","HYDROXYCHLOROQUINE","HYDROXYCHLOROQUINE","QUINOLINES","M01CA","dm_I"
"111","01515R","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"112","01516T","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","GLYCERYL TRINITRATE","C01DA02","dm_I"
"113","01554T","ISONIAZID","ISONIAZID","ISONIAZID","J04AC01","dm_I"
"114","01555W","ACICLOVIR","ACICLOVIR","ACICLOVIR","J05AB01","dm_I"
"115","01557Y","ALLOPURINOL","ALLOPURINOL","ALLOPURINOL","M04AA01","dm_I"
"116","01559C","BROMOCRIPTINE","BROMOCRIPTINE","BROMOCRIPTINE","G02CB01","dm_I"
"117","01561E","CLOMIPRAMINE","CLOMIPRAMINE","CLOMIPRAMINE","N06AA04","dm_I"
"118","01566K","LABETALOL","LABETALOL","LABETALOL","C07AG01","dm_I"
"119","01567L","LABETALOL","LABETALOL","LABETALOL","C07AG01","dm_I"
"120","01572R","KETOCONAZOLE","KETOCONAZOLE","KETOCONAZOLE","J02AB02","dm_I"
"121","01573T","KETOCONAZOLE","KETOCONAZOLE","KETOCONAZOLE","J02AB02","dm_I"
"122","01574W","KETOCONAZOLE","KETOCONAZOLE","KETOCONAZOLE","D01AC08","dm_I"
"123","01586L","KETOPROFEN","KETOPROFEN","KETOPROFEN","M01AE03","dm_I"
"124","01588N","KETOPROFEN","KETOPROFEN","KETOPROFEN","M01AE03","dm_I"
"125","01589P","KETOPROFEN","KETOPROFEN","KETOPROFEN","M01AE03","dm_I"
"126","01590Q","KETOPROFEN","KETOPROFEN","KETOPROFEN","M01AE03","dm_I"
"127","01594X","ONDANSETRON","ONDANSETRON","ONDANSETRON","A04AA01","dm_I"
"128","01595Y","ONDANSETRON","ONDANSETRON","ONDANSETRON","A04AA01","dm_I"
"129","01596B","ONDANSETRON","ONDANSETRON","ONDANSETRON","A04AA01","dm_I"
"130","01597C","ONDANSETRON","ONDANSETRON","ONDANSETRON","A04AA01","dm_I"
"131","01598D","MERCAPTOPURINE","MERCAPTOPURINE","MERCAPTOPURINE","L01BB02","dm_I"
"132","08953F","OLANZAPINE","OLANZAPINE","OLANZAPINE","N05AH03","dm_I"
"133","01606M","METHADONE","METHADONE","DIPHENYLPROPYLAMINE DERIVATIVES","N02AC","dm_I"
"134","01607N","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"135","01609Q","METHADONE","METHADONE","DIPHENYLPROPYLAMINE DERIVATIVES","N02AC","dm_I"
"136","01614Y","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"137","01615B","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"138","01621H","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"139","01622J","METHOTREXATE","METHOTREXATE","METHOTREXATE","L01BA01","dm_I"
"140","01623K","METHOTREXATE","METHOTREXATE","METHOTREXATE","L01BA01","dm_I"
"141","01626N","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"142","01627P","MIANSERIN","MIANSERIN","MIANSERIN","N06AX03","dm_I"
"143","01628Q","MIANSERIN","MIANSERIN","MIANSERIN","N06AX03","dm_I"
"144","01629R","METHYLDOPA","METHYLDOPA","METHYLDOPA (LEVOROTATORY)","C02AB01","dm_I"
"145","01630T","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"146","01636D","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"147","01638F","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"148","01642K","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"149","01644M","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"150","01645N","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"151","01646P","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"152","01647Q","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"153","01653B","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"154","01654C","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"155","01655D","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"156","01656E","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"157","01658G","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"158","01659H","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"159","01674D","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"160","01687T","NICOTINIC ACID","NICOTINIC ACID","NICOTINIC ACID","C10AD02","dm_I"
"161","01691B","NITROFURANTOIN","NITROFURANTOIN","NITROFURANTOIN","J01XE01","dm_I"
"162","01692C","NITROFURANTOIN","NITROFURANTOIN","NITROFURANTOIN","J01XE01","dm_I"
"163","01693D","NITROFURANTOIN","NITROFURANTOIN","NITROFURANTOIN","J01XE01","dm_I"
"164","01694E","NIFEDIPINE","NIFEDIPINE","NIFEDIPINE","C08CA05","dm_I"
"165","01695F","NIFEDIPINE","NIFEDIPINE","NIFEDIPINE","C08CA05","dm_I"
"166","01702N","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"167","01703P","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"168","01705R","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"169","01706T","CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE","N03AF01","dm_I"
"170","01708X","CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE","N03AF01","dm_I"
"171","01724R","CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE","N03AF01","dm_I"
"172","01746X","PARACETAMOL","PARACETAMOL","PARACETAMOL","N02BE01","dm_I"
"173","01747Y","PARACETAMOL","PARACETAMOL","PARACETAMOL","N02BE01","dm_I"
"174","01755J","CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE","N03AF01","dm_I"
"175","01757L","FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","J02AC01","dm_I"
"176","01770E","PARACETAMOL","PARACETAMOL","PARACETAMOL","N02BE01","dm_I"
"177","01786B","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"178","01787C","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"179","01789E","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","PHENOXYMETHYLPENICILLIN","J01CE02","dm_I"
"180","01795L","NAPROXEN","NAPROXEN","NAPROXEN","M01AE02","dm_I"
"181","01798P","CYPROHEPTADINE","CYPROHEPTADINE","OTHER ANTIMIGRAINE PREPARATIONS","N02CX","dm_I"
"182","01800R","DOXYCYCLINE","DOXYCYCLINE","DOXYCYCLINE","J01AA02","dm_I"
"183","01809F","FLUOXETINE","FLUOXETINE","FLUOXETINE","N06AB03","dm_I"
"184","01811H","CLADRIBINE","CLADRIBINE","CLADRIBINE","L01BB04","dm_I"
"185","01818Q","METHOTREXATE","METHOTREXATE","METHOTREXATE","L01BA01","dm_I"
"186","01821W","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"187","01828F","PETHIDINE","PETHIDINE","PETHIDINE","N02AB02","dm_I"
"188","01829G","PETHIDINE","PETHIDINE","PETHIDINE","N02AB02","dm_I"
"189","01832K","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"190","01834M","GABAPENTIN","GABAPENTIN","GABAPENTIN","N03AX12","dm_I"
"191","01835N","GABAPENTIN","GABAPENTIN","GABAPENTIN","N03AX12","dm_I"
"192","01836P","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"193","01839T","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"194","01842Y","RISPERIDONE","RISPERIDONE","RISPERIDONE","N05AX08","dm_I"
"195","01846E","RISPERIDONE","RISPERIDONE","RISPERIDONE","N05AX08","dm_I"
"196","01849H","SUMATRIPTAN","SUMATRIPTAN","SUMATRIPTAN","N02CC01","dm_I"
"197","01873N","PHENYTOIN","PHENYTOIN","PHENYTOIN","N03AB02","dm_I"
"198","01874P","PHENYTOIN","PHENYTOIN","PHENYTOIN","N03AB02","dm_I"
"199","01880Y","TAMOXIFEN","TAMOXIFEN","TAMOXIFEN","L02BA01","dm_I"
"200","01895R","PIROXICAM","PIROXICAM","PIROXICAM","M01AC01","dm_I"
"201","01896T","PIROXICAM","PIROXICAM","PIROXICAM","M01AC01","dm_I"
"202","01897W","PIROXICAM","PIROXICAM","PIROXICAM","M01AC01","dm_I"
"203","01898X","PIROXICAM","PIROXICAM","PIROXICAM","M01AC01","dm_I"
"204","01900B","MOCLOBEMIDE","MOCLOBEMIDE","MOCLOBEMIDE","N06AG02","dm_I"
"205","01906H","NIFEDIPINE","NIFEDIPINE","NIFEDIPINE","C08CA05","dm_I"
"206","01907J","NIFEDIPINE","NIFEDIPINE","NIFEDIPINE","C08CA05","dm_I"
"207","01916W","PREDNISOLONE","PREDNISOLONE","PREDNISOLONE","H02AB06","dm_I"
"208","01917X","PREDNISOLONE","PREDNISOLONE","PREDNISOLONE","H02AB06","dm_I"
"209","01928L","METHYLPREDNISOLONE","METHYLPREDNISOLONE","METHYLPREDNISOLONE","H02AB04","dm_I"
"210","01937Y","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"211","01939C","PRIMIDONE","PRIMIDONE","PRIMIDONE","N03AA03","dm_I"
"212","01952R","RASAGILINE","RASAGILINE","RASAGILINE","N04BD02","dm_I"
"213","01956Y","MEMANTINE","MEMANTINE","MEMANTINE","N06DX01","dm_I"
"214","01959D","PYRIDOSTIGMINE","PYRIDOSTIGMINE","PYRIDOSTIGMINE","N07AA02","dm_I"
"215","01963H","ETANERCEPT","ETANERCEPT","ETANERCEPT","L04AB01","dm_I"
"216","01966L","PYRIMETHAMINE","PYRIMETHAMINE","OTHER AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES","P01AX","dm_I"
"217","01972T","QUININE","QUININE","QUININE","P01BC01","dm_I"
"218","01973W","SELEGILINE","SELEGILINE","SELEGILINE","N04BD01","dm_I"
"219","01975Y","QUININE","QUININE","QUININE","P01BC01","dm_I"
"220","01977C","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"221","01978D","RANITIDINE","RANITIDINE","RANITIDINE","A02BA02","dm_I"
"222","01981G","RIFAMPICIN","RIFAMPICIN","DRUGS FOR TREATMENT OF LEPRA","J04BA","dm_I"
"223","01982H","RIFAMPICIN","RIFAMPICIN","DRUGS FOR TREATMENT OF LEPRA","J04BA","dm_I"
"224","01983J","RIFAMPICIN","RIFAMPICIN","DRUGS FOR TREATMENT OF LEPRA","J04BA","dm_I"
"225","01984K","RIFAMPICIN","RIFAMPICIN","DRUGS FOR TREATMENT OF LEPRA","J04BA","dm_I"
"226","02011W","SIMVASTATIN","SIMVASTATIN","SIMVASTATIN","C10AA01","dm_I"
"227","02012X","SIMVASTATIN","SIMVASTATIN","SIMVASTATIN","C10AA01","dm_I"
"228","02013Y","SIMVASTATIN","SIMVASTATIN","SIMVASTATIN","C10AA01","dm_I"
"229","02019G","ACITRETIN","ACITRETIN","ACITRETIN","D05BB02","dm_I"
"230","02020H","ACITRETIN","ACITRETIN","ACITRETIN","D05BB02","dm_I"
"231","02029T","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"232","02030W","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"233","02034C","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"234","02035D","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"235","02043M","SOTALOL","SOTALOL","ANTIARRHYTHMICS, CLASS III","C01BD","dm_I"
"236","02047R","SULINDAC","SULINDAC","SULINDAC","M01AB02","dm_I"
"237","02048T","SULINDAC","SULINDAC","SULINDAC","M01AB02","dm_I"
"238","02059J","MEMANTINE","MEMANTINE","MEMANTINE","N06DX01","dm_I"
"239","02065Q","BUDESONIDE","BUDESONIDE","BUDESONIDE","R03BA02","dm_I"
"240","02066R","BUDESONIDE","BUDESONIDE","BUDESONIDE","R03BA02","dm_I"
"241","02070Y","BUDESONIDE","BUDESONIDE","BUDESONIDE","R03BA02","dm_I"
"242","02071B","BUDESONIDE","BUDESONIDE","BUDESONIDE","R03BA02","dm_I"
"243","02072C","BUDESONIDE","BUDESONIDE","BUDESONIDE","R03BA02","dm_I"
"244","02109B","TAMOXIFEN","TAMOXIFEN","TAMOXIFEN","L02BA01","dm_I"
"245","02110C","TAMOXIFEN","TAMOXIFEN","TAMOXIFEN","L02BA01","dm_I"
"246","02122Q","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"247","02123R","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"248","02124T","MORPHINE","MORPHINE","MORPHINE","N02AA01","dm_I"
"249","02130D","ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM","N05BA12","dm_I"
"250","02131E","ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM","N05BA12","dm_I"
"251","02132F","ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM","N05BA12","dm_I"
"252","02150E","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"253","02160Q","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"254","02172H","METHYLPHENIDATE","METHYLPHENIDATE","METHYLPHENIDATE","N06BA04","dm_I"
"255","02193K","MYCOPHENOLATE","MYCOPHENOLATE","MYCOPHENOLIC ACID","L04AA06","dm_I"
"256","02198Q","VINBLASTINE","VINBLASTINE","VINBLASTINE","L01CA01","dm_I"
"257","02199R","VINBLASTINE","VINBLASTINE","VINBLASTINE","L01CA01","dm_I"
"258","02201W","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"259","02206D","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"260","02207E","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"261","02208F","VERAPAMIL","VERAPAMIL","VERAPAMIL","C08DA01","dm_I"
"262","02209G","WARFARIN","WARFARIN","WARFARIN","B01AA03","dm_I"
"263","02211J","WARFARIN","WARFARIN","WARFARIN","B01AA03","dm_I"
"264","02232L","PAZOPANIB","PAZOPANIB","PAZOPANIB","L01XE11","dm_I"
"265","02236Q","SERTRALINE","SERTRALINE","SERTRALINE","N06AB06","dm_I"
"266","02237R","SERTRALINE","SERTRALINE","SERTRALINE","N06AB06","dm_I"
"267","02240X","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"268","02241Y","LANSOPRAZOLE","LANSOPRAZOLE","LANSOPRAZOLE","A02BC03","dm_I"
"269","02242B","PAROXETINE","PAROXETINE","PAROXETINE","N06AB05","dm_I"
"270","02265F","INFLUENZA VACCINE","INFLUENZA VACCINE","INFLUENZA, PURIFIED ANTIGEN","J07BB02","dm_I"
"271","02268J","RIVAROXABAN","RIVAROXABAN","RIVAROXABAN","B01AF01","dm_I"
"272","02269K","VANCOMYCIN","VANCOMYCIN","VANCOMYCIN","J01XA01","dm_I"
"273","02270L","VANCOMYCIN","VANCOMYCIN","VANCOMYCIN","J01XA01","dm_I"
"274","02272N","METHOTREXATE","METHOTREXATE","METHOTREXATE","L01BA01","dm_I"
"275","02275R","CLOPIDOGREL","CLOPIDOGREL","CLOPIDOGREL","B01AC04","dm_I"
"276","02276T","METHYLPHENIDATE","METHYLPHENIDATE","METHYLPHENIDATE","N06BA04","dm_I"
"277","02277W","METRONIDAZOLE","METRONIDAZOLE","METRONIDAZOLE","J01XD01","dm_I"
"278","02280B","METHYLPHENIDATE","METHYLPHENIDATE","METHYLPHENIDATE","N06BA04","dm_I"
